epoch,dataset,model_name,routing_type,run_name,train_loss,train_acc,train_precision,train_recall,train_f1,train_epoch_time_sec,train_forward_time_sec,train_backward_time_sec,train_step_time_sec,train_samples_per_sec,train_tokens_per_sec,val_loss,val_acc,val_precision,val_recall,val_f1,val_epoch_time_sec,val_samples_per_sec,val_tokens_per_sec,gpu_peak_mem_mb,best_val_f1_so_far,is_best,epochs_without_improvement,train_firing_rate,train_spikes_per_sample,train_spikes_per_token,train_total_spikes,train_valid_steps,train_num_samples,train_exc_firing_rate,train_exc_total_spikes,train_exc_spikes_per_token,train_exc_spikes_per_sample,train_inh_firing_rate,train_inh_total_spikes,train_inh_spikes_per_token,train_inh_spikes_per_sample,train_exc_inh_diff,train_routing_entropy,train_num_groups,train_routing_variance,train_exc_weight_mean,train_inh_weight_mean,train_exc_inh_balance,train_weight_gap,train_exc_weight_std,train_inh_weight_std,train_exc_usage_fraction,train_inh_usage_fraction,train_max_weight_mean,train_dominance_fraction,train_exc_tau_mean,train_exc_tau_std,train_inh_tau_mean,train_inh_tau_std,train_exc_threshold_mean,train_exc_threshold_std,train_inh_threshold_mean,train_inh_threshold_std,train_exc_effective_threshold_mean,train_exc_effective_threshold_std,train_inh_effective_threshold_mean,train_inh_effective_threshold_std,train_exc_adaptive_threshold_mean,train_exc_adaptive_threshold_std,train_inh_adaptive_threshold_mean,train_inh_adaptive_threshold_std,train_task_loss,train_balance_loss,train_entropy_loss,val_firing_rate,val_spikes_per_sample,val_spikes_per_token,val_total_spikes,val_valid_steps,val_num_samples,val_exc_firing_rate,val_exc_total_spikes,val_exc_spikes_per_token,val_exc_spikes_per_sample,val_inh_firing_rate,val_inh_total_spikes,val_inh_spikes_per_token,val_inh_spikes_per_sample,val_exc_inh_diff,val_routing_entropy,val_num_groups,val_routing_variance,val_exc_weight_mean,val_inh_weight_mean,val_exc_inh_balance,val_weight_gap,val_exc_weight_std,val_inh_weight_std,val_exc_usage_fraction,val_inh_usage_fraction,val_max_weight_mean,val_dominance_fraction,val_exc_tau_mean,val_exc_tau_std,val_inh_tau_mean,val_inh_tau_std,val_exc_threshold_mean,val_exc_threshold_std,val_inh_threshold_mean,val_inh_threshold_std,val_exc_effective_threshold_mean,val_exc_effective_threshold_std,val_inh_effective_threshold_mean,val_inh_effective_threshold_std,val_exc_adaptive_threshold_mean,val_exc_adaptive_threshold_std,val_inh_adaptive_threshold_mean,val_inh_adaptive_threshold_std
1,cifar10,cats,linear,run_001,2.25989,0.4854,0.48477,0.485454,0.485031,5804.6098,210.0431,228.1943,4.1405,7.7525,503.9098,1.262253,0.5734,0.58625,0.57209,0.567159,22.2358,224.8628,14616.0788,120.1069,0.567159,1,0,0.291235,4846.154407,74.556222,154986.429282,532196.162047,31.982942,0.115732,30795.162047,14.813712,962.891258,0.466738,124191.267235,59.74251,3883.263149,-0.351006,0.503711,2.0,0.084392,0.26136,0.73864,-0.47728,0.47728,0.160348,0.160348,0.103863,0.896137,0.761653,0.1523,28.0,0.0,13.998984,0.0,0.907509,0.0,0.697481,0.0,1.015474,0.149226,1.317119,0.44301,0.110513,0.151242,0.632192,0.440781,2.211737,0.23864,0.189436,0.318772,5304.36883,81.605674,168879.471338,529936.305732,31.847134,0.117735,31227.318471,15.070128,979.55832,0.519809,137652.152866,66.535546,4324.81051,-0.402074,0.52312,2.0,0.075797,0.29967,0.70033,-0.400659,0.400659,0.188326,0.188326,0.169837,0.830163,0.740866,0.139974,28.0,0.0,13.99896,0.0,0.906639,0.0,0.696745,0.0,1.008145,0.156372,1.402575,0.449452,0.104348,0.15893,0.719181,0.445031
2,cifar10,cats,linear,run_001,1.211815,0.596533,0.595325,0.5966,0.595881,5643.2752,207.962,229.2057,3.9646,7.9741,518.316,1.198483,0.5916,0.617015,0.592097,0.593655,28.5327,175.2378,11390.4583,120.1069,0.593655,1,0,0.301735,5020.866449,77.244099,160591.722104,532196.162047,31.982942,0.145339,38671.506041,18.603384,1209.219972,0.458131,121920.216063,58.640715,3811.646477,-0.312792,0.534006,2.0,0.071254,0.34832,0.65168,-0.303359,0.303359,0.218192,0.218192,0.262954,0.737046,0.73243,0.116159,28.0,0.0,13.998943,0.0,0.905535,0.0,0.696479,0.0,1.032599,0.166248,1.322754,0.4257,0.130519,0.168767,0.637875,0.422314,1.181767,0.15168,0.159142,0.320859,5339.088376,82.139821,169983.006369,529936.305732,31.847134,0.142174,37704.140127,18.198242,1182.885748,0.499544,132278.866242,63.941579,4156.202627,-0.35737,0.523924,2.0,0.075455,0.352478,0.647522,-0.295043,0.295043,0.231142,0.231142,0.28325,0.71675,0.740647,0.132288,28.0,0.0,13.998921,0.0,0.904426,0.0,0.695965,0.0,1.021559,0.168784,1.394856,0.43377,0.120727,0.171823,0.710899,0.428555
3,cifar10,cats,linear,run_001,1.12389,0.625222,0.623998,0.625303,0.624522,5651.7567,208.3735,230.1236,4.0725,7.9621,517.5382,1.180288,0.5966,0.609436,0.594627,0.595605,28.6802,174.3363,11331.8606,120.1069,0.595605,1,0,0.305023,5075.585221,78.085926,162326.746269,532196.162047,31.982942,0.16684,44394.010661,21.355462,1388.105011,0.443207,117932.735608,56.730465,3687.480211,-0.276367,0.526005,2.0,0.074642,0.386754,0.613246,-0.226491,0.226491,0.247752,0.247752,0.33494,0.66506,0.739812,0.124687,28.0,0.0,13.998907,0.0,0.903723,0.0,0.696099,0.0,1.043101,0.176737,1.32014,0.411309,0.143539,0.179678,0.634536,0.407177,1.10084,0.113246,0.167142,0.316113,5260.12301,80.924969,167479.082803,529936.305732,31.847134,0.187001,49592.184713,23.936183,1555.851911,0.445225,117886.898089,56.988786,3704.271099,-0.258223,0.52588,2.0,0.0749,0.404319,0.595681,-0.191362,0.191362,0.255816,0.255816,0.362635,0.637365,0.741463,0.117253,28.0,0.0,13.998885,0.0,0.903213,0.0,0.695773,0.0,1.058057,0.189866,1.330322,0.420184,0.159549,0.193125,0.644785,0.415828
4,cifar10,cats,linear,run_001,1.067947,0.642044,0.640954,0.642115,0.641445,5779.5583,209.2884,230.3879,3.9909,7.7861,506.094,1.168274,0.605,0.61279,0.60227,0.589167,28.3293,176.4956,11472.2147,120.1069,0.595605,0,1,0.306545,5100.902319,78.47542,163134.289979,532196.162047,31.982942,0.192677,51272.721393,24.662719,1603.076715,0.420412,111861.568586,53.812702,3497.825604,-0.227734,0.522081,2.0,0.076305,0.41937,0.58063,-0.161261,0.161261,0.263431,0.263431,0.380103,0.619897,0.743367,0.131923,28.0,0.0,13.99887,0.0,0.902493,0.0,0.695288,0.0,1.062763,0.186277,1.297492,0.403284,0.165096,0.189373,0.611748,0.399164,1.05157,0.08063,0.171066,0.321411,5348.273089,82.281124,170301.929936,529936.305732,31.847134,0.198234,52578.0,25.373968,1649.307922,0.444587,117723.929936,56.907156,3698.965167,-0.246353,0.518505,2.0,0.077766,0.409368,0.590632,-0.181264,0.181264,0.263132,0.263132,0.366756,0.633244,0.746085,0.139784,28.0,0.0,13.99885,0.0,0.901739,0.0,0.695235,0.0,1.063129,0.191138,1.337123,0.417033,0.166459,0.194584,0.651779,0.412208
5,cifar10,cats,linear,run_001,1.034181,0.650156,0.649012,0.650237,0.649503,5714.481,209.3499,230.2106,4.0251,7.8747,511.8575,1.136729,0.611,0.61457,0.608754,0.607482,28.4919,175.4887,11406.7647,120.1069,0.607482,1,0,0.311081,5176.379864,79.636613,165557.605544,532196.162047,31.982942,0.212348,56516.395167,27.180515,1766.733498,0.409813,109041.210377,52.456098,3409.646366,-0.197465,0.51746,2.0,0.078061,0.436609,0.563391,-0.126782,0.126782,0.271446,0.271446,0.40301,0.59699,0.745931,0.144442,28.0,0.0,13.998837,0.0,0.9007,0.0,0.694983,0.0,1.075836,0.192169,1.288989,0.398034,0.180499,0.195391,0.603031,0.393786,1.021329,0.063391,0.175687,0.32494,5407.009355,83.184759,172186.305732,529936.305732,31.847134,0.211803,56186.22293,27.110785,1762.201035,0.438078,116000.082803,56.073974,3644.80832,-0.226275,0.520977,2.0,0.076712,0.447891,0.552109,-0.104219,0.104219,0.271409,0.271409,0.417697,0.582303,0.743905,0.138171,28.0,0.0,13.998819,0.0,0.900096,0.0,0.694556,0.0,1.073272,0.192307,1.333259,0.414958,0.178571,0.195834,0.648202,0.409915
6,cifar10,cats,linear,run_001,1.006519,0.657333,0.656181,0.657408,0.656665,5762.1569,207.667,229.0716,3.9334,7.8096,507.6224,1.150223,0.6146,0.614735,0.614244,0.607293,28.0849,178.0314,11572.0379,120.1069,0.607482,0,1,0.314976,5241.195562,80.633778,167629.366738,532196.162047,31.982942,0.23247,61854.812367,29.75614,1934.14912,0.397482,105774.554371,50.877638,3307.046442,-0.165012,0.514452,2.0,0.079149,0.451523,0.548477,-0.096955,0.097201,0.27635,0.27635,0.422543,0.577457,0.747407,0.15379,28.0,0.0,13.998811,0.0,0.898946,0.0,0.694787,0.0,1.090393,0.196205,1.27622,0.393971,0.197327,0.199468,0.589974,0.389737,0.997138,0.048601,0.178695,0.329684,5485.934116,84.398986,174713.44586,529936.305732,31.847134,0.256158,67953.490446,32.788262,2131.237062,0.403209,106759.955414,51.610724,3354.697054,-0.14705,0.509754,2.0,0.081112,0.441226,0.558774,-0.117549,0.117549,0.278084,0.278084,0.408035,0.591965,0.751346,0.162822,28.0,0.0,13.998794,0.0,0.898292,0.0,0.694463,0.0,1.105143,0.207514,1.290604,0.406258,0.213454,0.21119,0.604552,0.401828
7,cifar10,cats,linear,run_001,0.98535,0.664444,0.663233,0.664523,0.663757,5705.4585,208.1473,229.8201,3.893,7.8872,512.667,1.180923,0.6074,0.619287,0.606376,0.599869,28.2172,177.1967,11517.7842,120.1069,0.607482,0,2,0.320335,5330.377621,82.00581,170483.081734,532196.162047,31.982942,0.256217,68176.773987,32.795754,2131.724014,0.384454,102306.307747,49.210055,3198.653607,-0.128237,0.510864,2.0,0.080437,0.468814,0.531186,-0.062372,0.06351,0.281273,0.281273,0.447059,0.552941,0.749052,0.164982,28.0,0.0,13.998782,0.0,0.896679,0.0,0.693846,0.0,1.106587,0.202689,1.262508,0.388574,0.216421,0.206034,0.576671,0.384331,0.978927,0.031755,0.182284,0.33522,5578.060709,85.816319,177667.630573,529936.305732,31.847134,0.283917,75321.898089,36.341386,2362.190088,0.386523,102345.732484,49.474933,3215.870621,-0.102606,0.510799,2.0,0.080519,0.487329,0.512671,-0.025342,0.033457,0.282919,0.282919,0.471135,0.528865,0.74933,0.165048,28.0,0.0,13.998766,0.0,0.895321,0.0,0.693306,0.0,1.128318,0.212898,1.270844,0.400237,0.240204,0.216378,0.585359,0.395865
8,cifar10,cats,linear,run_001,0.964323,0.669711,0.668323,0.669791,0.668914,5671.3664,207.5494,228.9937,4.0448,7.9346,515.7487,1.145944,0.6122,0.621317,0.611038,0.612278,28.0968,177.9559,11567.134,120.1069,0.612278,1,0,0.325335,5413.575915,83.285783,173136.113717,532196.162047,31.982942,0.272625,72543.319119,34.895983,2268.238917,0.378045,100592.794598,48.3898,3145.336998,-0.10542,0.506931,2.0,0.081859,0.476103,0.523897,-0.047794,0.05117,0.284498,0.284498,0.457684,0.542316,0.751014,0.176946,28.0,0.0,13.998757,0.0,0.894271,0.0,0.693026,0.0,1.116506,0.206209,1.255937,0.385126,0.229199,0.209586,0.570639,0.38081,0.958812,0.025585,0.186216,0.340724,5669.651871,87.225413,180580.452229,529936.305732,31.847134,0.295501,78391.917197,37.824109,2458.567078,0.385948,102188.535032,49.401305,3211.084793,-0.090447,0.503404,2.0,0.08339,0.469567,0.530433,-0.060867,0.061784,0.286621,0.286621,0.448432,0.551568,0.754267,0.183427,28.0,0.0,13.998741,0.0,0.893701,0.0,0.692792,0.0,1.134657,0.213634,1.269991,0.39993,0.248503,0.217134,0.584987,0.395529
9,cifar10,cats,linear,run_001,0.951032,0.677067,0.675731,0.677144,0.676314,5758.6665,208.8344,229.5282,4.0046,7.8143,507.9301,1.126367,0.6294,0.631999,0.627283,0.619996,28.2296,177.1193,11512.7563,120.1069,0.619996,1,0,0.330505,5499.596593,84.609178,175890.32978,532196.162047,31.982942,0.282553,75178.625444,36.166727,2350.837242,0.378457,100711.704335,48.442452,3148.759351,-0.095904,0.503706,2.0,0.083079,0.479453,0.520547,-0.041093,0.04537,0.286932,0.286932,0.463252,0.536748,0.752911,0.184621,28.0,0.0,13.998734,0.0,0.89266,0.0,0.692706,0.0,1.121952,0.207138,1.258141,0.38424,0.236541,0.210553,0.573094,0.379779,0.946335,0.022685,0.189441,0.347156,5776.674164,88.87191,183991.426752,529936.305732,31.847134,0.298115,79086.165605,38.158755,2480.319068,0.396197,104905.261146,50.713155,3296.355096,-0.098081,0.503583,2.0,0.083258,0.48064,0.51936,-0.03872,0.042186,0.287389,0.287389,0.464206,0.535794,0.7534,0.182028,28.0,0.0,13.998722,0.0,0.891242,0.0,0.692682,0.0,1.133066,0.21149,1.28849,0.401206,0.249475,0.215076,0.603672,0.396308
10,cifar10,cats,linear,run_001,0.932451,0.681044,0.680126,0.681119,0.680525,5694.541,208.4542,229.4745,3.9559,7.9023,513.6498,1.127437,0.6264,0.632361,0.626974,0.622589,28.7568,173.8719,11301.6703,120.1069,0.622589,1,0,0.335156,5576.988251,85.799819,178373.551528,532196.162047,31.982942,0.293848,78207.365316,37.612573,2444.817253,0.376463,100166.186212,48.187246,3132.170998,-0.082615,0.502411,2.0,0.083537,0.481383,0.518617,-0.037233,0.042631,0.287859,0.287859,0.467226,0.532774,0.753405,0.188098,28.0,0.0,13.998717,0.0,0.890398,0.0,0.692859,0.0,1.127605,0.209229,1.257839,0.383832,0.244783,0.212706,0.572498,0.379294,0.927941,0.021315,0.190736,0.348964,5806.755374,89.334698,184956.528662,529936.305732,31.847134,0.30824,81770.057325,39.454783,2564.560908,0.389687,103186.471338,49.879915,3242.194467,-0.081446,0.502572,2.0,0.083566,0.492616,0.507384,-0.014768,0.027431,0.288478,0.288478,0.480723,0.519277,0.753697,0.188357,28.0,0.0,13.998705,0.0,0.888667,0.0,0.692779,0.0,1.138523,0.212777,1.28128,0.399617,0.257773,0.216369,0.596136,0.394771
