epoch,dataset,model_name,routing_type,run_name,train_loss,train_acc,train_precision,train_recall,train_f1,train_epoch_time_sec,train_forward_time_sec,train_backward_time_sec,train_step_time_sec,train_samples_per_sec,train_tokens_per_sec,val_loss,val_acc,val_precision,val_recall,val_f1,val_epoch_time_sec,val_samples_per_sec,val_tokens_per_sec,gpu_peak_mem_mb,best_val_f1_so_far,is_best,epochs_without_improvement,train_firing_rate,train_spikes_per_sample,train_spikes_per_token,train_total_spikes,train_valid_steps,train_num_samples,train_exc_firing_rate,train_exc_total_spikes,train_exc_spikes_per_token,train_exc_spikes_per_sample,train_inh_firing_rate,train_inh_total_spikes,train_inh_spikes_per_token,train_inh_spikes_per_sample,train_exc_inh_diff,train_routing_entropy,train_num_groups,train_routing_variance,train_exc_weight_mean,train_inh_weight_mean,train_exc_inh_balance,train_weight_gap,train_exc_weight_std,train_inh_weight_std,train_routing_conf_mean,train_routing_conf_std,train_exc_usage_fraction,train_inh_usage_fraction,train_max_weight_mean,train_dominance_fraction,train_exc_tau_mean,train_exc_tau_std,train_inh_tau_mean,train_inh_tau_std,train_exc_threshold_mean,train_exc_threshold_std,train_inh_threshold_mean,train_inh_threshold_std,train_exc_effective_threshold_mean,train_exc_effective_threshold_std,train_inh_effective_threshold_mean,train_inh_effective_threshold_std,train_exc_adaptive_threshold_mean,train_exc_adaptive_threshold_std,train_inh_adaptive_threshold_mean,train_inh_adaptive_threshold_std,train_task_loss,train_balance_loss,train_entropy_loss,val_firing_rate,val_spikes_per_sample,val_spikes_per_token,val_total_spikes,val_valid_steps,val_num_samples,val_exc_firing_rate,val_exc_total_spikes,val_exc_spikes_per_token,val_exc_spikes_per_sample,val_inh_firing_rate,val_inh_total_spikes,val_inh_spikes_per_token,val_inh_spikes_per_sample,val_exc_inh_diff,val_routing_entropy,val_num_groups,val_routing_variance,val_exc_weight_mean,val_inh_weight_mean,val_exc_inh_balance,val_weight_gap,val_exc_weight_std,val_inh_weight_std,val_routing_conf_mean,val_routing_conf_std,val_exc_usage_fraction,val_inh_usage_fraction,val_max_weight_mean,val_dominance_fraction,val_exc_tau_mean,val_exc_tau_std,val_inh_tau_mean,val_inh_tau_std,val_exc_threshold_mean,val_exc_threshold_std,val_inh_threshold_mean,val_inh_threshold_std,val_exc_effective_threshold_mean,val_exc_effective_threshold_std,val_inh_effective_threshold_mean,val_inh_effective_threshold_std,val_exc_adaptive_threshold_mean,val_exc_adaptive_threshold_std,val_inh_adaptive_threshold_mean,val_inh_adaptive_threshold_std
1,speech_commands,cats,carson,run_001,0.533579,0.861285,0.860126,0.847464,0.853172,8778.5341,349.2668,375.2159,11.0971,9.6648,473.5764,0.287594,0.918445,0.915749,0.914698,0.913977,47.4888,210.1757,10298.6089,192.4541,0.913977,1,0,0.13274,1665.088379,33.981395,53267.127074,401308.669683,31.992081,0.067177,13477.609729,8.598695,421.336037,0.198302,39789.517345,25.382701,1243.752342,-0.131125,0.530191,2.0,0.069483,0.496102,0.503898,-0.007796,0.060787,0.258316,0.258316,0.020408,0.065389,0.411396,0.588604,0.716925,0.170319,28.0,0.0,13.99902,0.0,0.910353,0.0,0.699472,0.0,0.968013,0.105273,0.93712,0.278083,0.059289,0.106603,0.244006,0.27991,0.527211,0.030393,0.162956,0.171203,2147.575272,43.828067,68701.330128,401287.384615,31.990385,0.106763,21422.535256,13.665616,669.61516,0.235644,47278.794872,30.162451,1477.960112,-0.128882,0.501984,2.0,0.079216,0.505874,0.494126,0.011747,0.155042,0.262297,0.262297,0.020408,0.062663,0.3914,0.6086,0.730895,0.219268,28.0,0.0,13.999014,0.0,0.911365,0.0,0.698634,0.0,1.001051,0.134227,0.987024,0.307331,0.092334,0.135881,0.295706,0.308477
2,speech_commands,cats,carson,run_001,0.303543,0.915361,0.913452,0.906939,0.909921,10343.383,389.1859,392.5755,12.0084,8.2026,401.9291,0.251787,0.927462,0.923269,0.924014,0.922906,47.1066,211.881,10382.1694,192.4541,0.922906,1,0,0.185797,2330.6314,47.563906,74560.298265,401308.669683,31.992081,0.104485,20960.959653,13.374062,655.329027,0.267108,53599.338612,34.189844,1675.302373,-0.162623,0.51454,2.0,0.074256,0.49522,0.50478,-0.009559,0.037323,0.271236,0.271236,0.020408,0.06299,0.35579,0.64421,0.724356,0.197362,28.0,0.0,13.999009,0.0,0.912388,0.0,0.698725,0.0,1.000255,0.131871,1.026199,0.320989,0.090455,0.133602,0.335744,0.321538,0.299561,0.018662,0.178607,0.204659,2567.23816,52.392616,82126.910256,401287.384615,31.990385,0.156919,31485.798077,20.085649,984.196805,0.252398,50641.112179,32.306966,1583.041356,-0.095479,0.512655,2.0,0.075357,0.50533,0.49467,0.01066,0.081979,0.268376,0.268376,0.020408,0.059629,0.398295,0.601705,0.72885,0.196664,28.0,0.0,13.999002,0.0,0.913022,0.0,0.698516,0.0,1.038929,0.160346,1.017188,0.310427,0.129976,0.162646,0.326116,0.310369
3,speech_commands,cats,carson,run_001,0.260399,0.92683,0.925582,0.919675,0.922402,10592.6939,376.4028,385.8671,11.6241,8.0096,392.4693,0.230266,0.935177,0.932452,0.9324,0.931974,48.7515,204.7324,10031.886,192.4541,0.931974,1,0,0.207061,2597.370098,53.007553,83095.460784,401308.669683,31.992081,0.127937,25669.62632,16.375997,802.42384,0.286184,57425.834465,36.631556,1794.946258,-0.158247,0.502342,2.0,0.079005,0.495747,0.504253,-0.008507,0.031455,0.280138,0.280138,0.020408,0.059666,0.366381,0.633619,0.736791,0.210211,28.0,0.0,13.998997,0.0,0.914631,0.0,0.698452,0.0,1.019515,0.144785,1.054528,0.329256,0.108135,0.146893,0.364728,0.329083,0.257009,0.015728,0.190805,0.221811,2782.394458,56.78356,89009.740385,401287.384615,31.990385,0.146427,29380.858974,18.742593,918.387078,0.297195,59628.88141,38.040967,1864.007381,-0.150769,0.500404,2.0,0.080068,0.503016,0.496984,0.006033,0.076205,0.277172,0.277172,0.020408,0.05656,0.372081,0.627919,0.741224,0.206483,28.0,0.0,13.998989,0.0,0.915482,0.0,0.698512,0.0,1.033011,0.152633,1.076039,0.331423,0.121324,0.154983,0.386201,0.330308
4,speech_commands,cats,carson,run_001,0.235684,0.932746,0.93149,0.926231,0.928703,9697.4845,359.5419,382.0454,11.3944,8.749,428.6995,0.245539,0.933073,0.926313,0.931943,0.928215,51.5892,193.4706,9480.0605,192.4541,0.931974,0,1,0.222542,2791.567191,56.970759,89308.913273,401308.669683,31.992081,0.144409,28973.5954,18.484352,905.733252,0.300675,60335.317873,38.486407,1885.833939,-0.156266,0.487385,2.0,0.085198,0.496299,0.503701,-0.007401,0.029058,0.2911,0.2911,0.020408,0.058258,0.36884,0.63116,0.75181,0.223326,28.0,0.0,13.998987,0.0,0.916284,0.0,0.699157,0.0,1.032507,0.152252,1.07873,0.340266,0.119958,0.15464,0.388444,0.339457,0.232523,0.014529,0.205762,0.225381,2827.176358,57.697477,90442.666667,401287.384615,31.990385,0.197316,39593.275641,25.2564,1237.563581,0.253446,50849.391026,32.441077,1589.612777,-0.05613,0.478774,2.0,0.088291,0.504199,0.495801,0.008397,0.070942,0.292154,0.292154,0.020408,0.054459,0.375911,0.624089,0.756926,0.234054,28.0,0.0,13.998983,0.0,0.916427,0.0,0.699694,0.0,1.071178,0.176742,1.02573,0.32495,0.159974,0.179414,0.333271,0.32471
5,speech_commands,cats,carson,run_001,0.214152,0.938699,0.937667,0.932556,0.934966,8919.1979,375.5912,419.6769,12.1253,9.5124,466.1077,0.238533,0.937682,0.932979,0.935578,0.933882,54.0901,184.5253,9041.7411,192.4541,0.933882,1,0,0.229341,2876.855794,58.711343,92036.208522,401308.669683,31.992081,0.157916,31685.440799,20.21322,990.447759,0.300767,60350.767722,38.498123,1886.408035,-0.142851,0.480153,2.0,0.087676,0.496035,0.503965,-0.007929,0.02853,0.295315,0.295315,0.020408,0.057165,0.362902,0.637098,0.754247,0.238079,28.0,0.0,13.998982,0.0,0.917853,0.0,0.700297,0.0,1.044126,0.16194,1.08174,0.340955,0.130381,0.16448,0.390246,0.340066,0.211094,0.014265,0.212994,0.240934,3022.277364,61.67913,96682.980769,401287.384615,31.990385,0.191905,38506.330128,24.563885,1203.630353,0.289963,58176.650641,37.115245,1818.647011,-0.098058,0.477593,2.0,0.088401,0.505612,0.494388,0.011223,0.063897,0.292731,0.292731,0.020408,0.056661,0.370804,0.629196,0.756443,0.240153,28.0,0.0,13.998979,0.0,0.918661,0.0,0.700898,0.0,1.070747,0.17898,1.071338,0.335593,0.15712,0.181628,0.378819,0.334644
6,speech_commands,cats,carson,run_001,0.196977,0.942635,0.941489,0.936897,0.939063,8969.5262,374.1386,420.5194,12.2302,9.459,463.4924,0.249134,0.935177,0.929414,0.932799,0.92995,48.1651,207.2249,10154.0202,192.4541,0.933882,0,1,0.236378,2965.122747,60.512709,94861.0181,401308.669683,31.992081,0.169508,34012.52187,21.696989,1063.152441,0.303248,60848.496229,38.815721,1901.970307,-0.13374,0.477871,2.0,0.088172,0.496571,0.503429,-0.006858,0.026427,0.296217,0.296217,0.020408,0.056806,0.353734,0.646266,0.754055,0.243806,28.0,0.0,13.998981,0.0,0.919854,0.0,0.702203,0.0,1.053936,0.167655,1.088964,0.343885,0.138535,0.170332,0.39555,0.34289,0.194168,0.013214,0.215277,0.240707,3019.425346,61.620925,96592.538462,401287.384615,31.990385,0.174107,34934.435897,22.285646,1091.99665,0.307307,61658.102564,39.33528,1927.428696,-0.1332,0.451041,2.0,0.098786,0.501678,0.498322,0.003355,0.052186,0.310937,0.310937,0.020408,0.053863,0.370153,0.629847,0.77545,0.273842,28.0,0.0,13.998981,0.0,0.920877,0.0,0.70342,0.0,1.055441,0.168352,1.102555,0.343582,0.139233,0.171302,0.407754,0.341892
7,speech_commands,cats,carson,run_001,0.181629,0.94788,0.946623,0.942956,0.944695,8853.552,348.969,377.655,11.1026,9.5829,469.5637,0.248599,0.937381,0.936774,0.932905,0.934335,53.2037,187.5999,9192.3939,192.4541,0.934335,1,0,0.240322,3014.602985,61.52251,96441.779789,401308.669683,31.992081,0.174684,35051.226998,22.359518,1095.616363,0.305961,61390.55279,39.162992,1918.986622,-0.131277,0.460804,2.0,0.094647,0.495917,0.504083,-0.008166,0.026534,0.307007,0.307007,0.020408,0.054802,0.35549,0.64451,0.766454,0.267774,28.0,0.0,13.998985,0.0,0.921739,0.0,0.70465,0.0,1.059666,0.170328,1.094715,0.348174,0.142523,0.173053,0.398938,0.347178,0.178751,0.013267,0.232343,0.264058,3312.344796,67.598873,105961.259615,401287.384615,31.990385,0.194978,39122.208333,24.957121,1222.898928,0.333139,66839.051282,42.641752,2089.445869,-0.138161,0.467694,2.0,0.091256,0.517467,0.482533,0.034935,0.072145,0.297364,0.297364,0.020408,0.056295,0.373714,0.626286,0.756431,0.266057,28.0,0.0,13.998986,0.0,0.922265,0.0,0.70565,0.0,1.078183,0.186139,1.131221,0.35089,0.16099,0.188844,0.435199,0.348832
8,speech_commands,cats,carson,run_001,0.167123,0.950945,0.949728,0.946003,0.947771,8966.4649,347.8353,381.1905,11.0513,9.4623,463.6506,0.254482,0.937982,0.938198,0.934121,0.935624,53.4327,186.7957,9152.9898,192.4541,0.935624,1,0,0.248275,3114.365268,63.558475,99633.8273,401308.669683,31.992081,0.189202,37963.332579,24.217808,1186.672595,0.307349,61670.494721,39.340667,1927.692673,-0.118147,0.459516,2.0,0.094856,0.496595,0.503405,-0.00681,0.025069,0.307387,0.307387,0.020408,0.054432,0.35436,0.64564,0.766311,0.271416,28.0,0.0,13.998994,0.0,0.923499,0.0,0.706957,0.0,1.072843,0.179502,1.100128,0.348983,0.154324,0.182291,0.402032,0.347919,0.164439,0.012534,0.233632,0.262576,3293.755316,67.219496,105367.307692,401287.384615,31.990385,0.211153,42366.849359,27.027525,1324.348709,0.314,63000.458333,40.191972,1969.406606,-0.102847,0.465949,2.0,0.092044,0.50388,0.49612,0.00776,0.041871,0.300794,0.300794,0.020408,0.052011,0.356469,0.643531,0.76105,0.259675,28.0,0.0,13.998998,0.0,0.924458,0.0,0.708423,0.0,1.093106,0.190943,1.108144,0.347634,0.174146,0.193552,0.408852,0.346426
9,speech_commands,cats,carson,run_001,0.155072,0.954351,0.953755,0.949423,0.95149,8929.4262,349.3416,381.0223,11.1169,9.5015,465.5738,0.260586,0.939084,0.936932,0.934879,0.935347,48.5126,205.7404,10081.2792,192.4541,0.935624,0,1,0.253315,3177.589608,64.848768,101658.355204,401308.669683,31.992081,0.19837,39805.599548,25.391421,1244.179639,0.308261,61852.755656,39.457346,1933.409968,-0.10989,0.468899,2.0,0.090717,0.495975,0.504025,-0.00805,0.023973,0.300611,0.300611,0.020408,0.054226,0.342062,0.657938,0.7568,0.262911,28.0,0.0,13.999006,0.0,0.925515,0.0,0.709891,0.0,1.084248,0.186201,1.101337,0.350223,0.163889,0.188832,0.400449,0.349421,0.152414,0.011986,0.224248,0.262097,3287.751016,67.096959,105175.442308,401287.384615,31.990385,0.204767,41086.025641,26.21016,1284.297832,0.319428,64089.416667,40.8868,2003.453184,-0.114661,0.459233,2.0,0.09407,0.507,0.493,0.014,0.051182,0.303526,0.303526,0.020408,0.051563,0.35668,0.64332,0.760431,0.280738,28.0,0.0,13.999011,0.0,0.926163,0.0,0.711651,0.0,1.090394,0.18887,1.121892,0.352927,0.169543,0.19148,0.419385,0.3514
10,speech_commands,cats,carson,run_001,0.142105,0.958936,0.958435,0.954447,0.956357,8896.8047,344.9704,376.4,10.9461,9.5363,467.2809,0.270697,0.934475,0.928636,0.931141,0.929276,47.7074,209.2126,10251.4192,192.4541,0.935624,0,2,0.255626,3206.57034,65.440211,102583.196078,401308.669683,31.992081,0.196854,39498.048643,25.197303,1234.667858,0.314398,63085.147436,40.242908,1971.902482,-0.117544,0.458413,2.0,0.094532,0.496524,0.503476,-0.006951,0.024414,0.30689,0.30689,0.020408,0.052163,0.344105,0.655895,0.764025,0.276246,28.0,0.0,13.999024,0.0,0.926939,0.0,0.713378,0.0,1.084459,0.186789,1.111059,0.353653,0.162637,0.189427,0.406925,0.352832,0.139466,0.012207,0.234734,0.269325,3378.413706,68.947219,108075.830128,401287.384615,31.990385,0.222969,44738.583333,28.53998,1398.459024,0.315682,63337.246795,40.407238,1979.954683,-0.092713,0.45955,2.0,0.093915,0.503792,0.496208,0.007583,0.039342,0.303459,0.303459,0.020408,0.048049,0.348871,0.651129,0.760279,0.279827,28.0,0.0,13.99903,0.0,0.928074,0.0,0.715057,0.0,1.105016,0.197018,1.122918,0.34851,0.182783,0.19965,0.416802,0.346905
