epoch,dataset,model_name,routing_type,run_name,train_loss,train_acc,train_precision,train_recall,train_f1,train_epoch_time_sec,train_forward_time_sec,train_backward_time_sec,train_step_time_sec,train_samples_per_sec,train_tokens_per_sec,val_loss,val_acc,val_precision,val_recall,val_f1,val_epoch_time_sec,val_samples_per_sec,val_tokens_per_sec,gpu_peak_mem_mb,best_val_f1_so_far,is_best,epochs_without_improvement,train_firing_rate,train_spikes_per_sample,train_spikes_per_token,train_total_spikes,train_valid_steps,train_num_samples,train_exc_firing_rate,train_exc_total_spikes,train_exc_spikes_per_token,train_exc_spikes_per_sample,train_inh_firing_rate,train_inh_total_spikes,train_inh_spikes_per_token,train_inh_spikes_per_sample,train_exc_inh_diff,train_routing_entropy,train_num_groups,train_routing_variance,train_exc_weight_mean,train_inh_weight_mean,train_exc_inh_balance,train_weight_gap,train_exc_weight_std,train_inh_weight_std,train_exc_usage_fraction,train_inh_usage_fraction,train_max_weight_mean,train_dominance_fraction,train_exc_tau_mean,train_exc_tau_std,train_inh_tau_mean,train_inh_tau_std,train_exc_threshold_mean,train_exc_threshold_std,train_inh_threshold_mean,train_inh_threshold_std,train_exc_effective_threshold_mean,train_exc_effective_threshold_std,train_inh_effective_threshold_mean,train_inh_effective_threshold_std,train_exc_adaptive_threshold_mean,train_exc_adaptive_threshold_std,train_inh_adaptive_threshold_mean,train_inh_adaptive_threshold_std,train_task_loss,train_balance_loss,train_entropy_loss,val_firing_rate,val_spikes_per_sample,val_spikes_per_token,val_total_spikes,val_valid_steps,val_num_samples,val_exc_firing_rate,val_exc_total_spikes,val_exc_spikes_per_token,val_exc_spikes_per_sample,val_inh_firing_rate,val_inh_total_spikes,val_inh_spikes_per_token,val_inh_spikes_per_sample,val_exc_inh_diff,val_routing_entropy,val_num_groups,val_routing_variance,val_exc_weight_mean,val_inh_weight_mean,val_exc_inh_balance,val_weight_gap,val_exc_weight_std,val_inh_weight_std,val_exc_usage_fraction,val_inh_usage_fraction,val_max_weight_mean,val_dominance_fraction,val_exc_tau_mean,val_exc_tau_std,val_inh_tau_mean,val_inh_tau_std,val_exc_threshold_mean,val_exc_threshold_std,val_inh_threshold_mean,val_inh_threshold_std,val_exc_effective_threshold_mean,val_exc_effective_threshold_std,val_inh_effective_threshold_mean,val_inh_effective_threshold_std,val_exc_adaptive_threshold_mean,val_exc_adaptive_threshold_std,val_inh_adaptive_threshold_mean,val_inh_adaptive_threshold_std
1,speech_commands,cats,identity,run_001,1.147311,0.768785,0.762217,0.741443,0.749424,10252.5302,293.8291,312.0471,10.449,8.2753,405.4908,0.531279,0.867448,0.869524,0.854552,0.856313,37.5216,266.0067,13034.3261,82.6118,0.856313,1,0,0.268846,3372.405043,68.824593,107892.188537,401308.669683,31.992081,0.400873,80442.041855,51.311703,2514.273466,0.136819,27450.146682,17.512889,858.131576,0.264053,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999065,0.0,0.910103,0.0,0.701406,0.0,1.163255,0.2451,0.901528,0.151625,0.265602,0.249283,0.203063,0.150283,1.147111,0.0,0.0,0.237438,2978.42136,60.784109,95274.573718,401287.384615,31.990385,0.321272,64450.980769,41.122815,2015.017936,0.153604,30823.592949,19.661294,963.403425,0.167668,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999108,0.0,0.910706,0.0,0.703161,0.0,1.110314,0.207673,0.919498,0.145905,0.209684,0.21158,0.219972,0.143843
2,speech_commands,cats,identity,run_001,0.561068,0.863147,0.85427,0.848276,0.851039,10112.1291,291.4905,310.0744,10.2996,8.3902,411.1208,0.447196,0.888488,0.895362,0.877588,0.883196,37.8065,264.0021,12936.1046,80.2212,0.883196,1,0,0.232826,2920.56727,59.603414,93436.699849,401308.669683,31.992081,0.298255,59849.246983,38.176588,1870.652817,0.167397,33587.452866,21.426826,1049.914454,0.130858,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999129,0.0,0.911002,0.0,0.705434,0.0,1.099148,0.216644,0.937238,0.17646,0.197414,0.220862,0.235924,0.175063,0.56106,0.0,0.0,0.226266,2838.27953,57.924072,90792.807692,401287.384615,31.990385,0.25586,51326.233974,32.750116,1604.755665,0.196672,39466.573718,25.173956,1233.523866,0.059189,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999142,0.0,0.911963,0.0,0.706947,0.0,1.073671,0.189854,0.974619,0.177042,0.169649,0.19348,0.272699,0.17428
3,speech_commands,cats,identity,run_001,0.490766,0.878929,0.871491,0.866453,0.868803,10058.6409,291.8877,311.096,10.4878,8.4348,413.307,0.436458,0.892095,0.89896,0.883416,0.886929,39.108,255.2161,12505.5868,80.2212,0.886929,1,0,0.231685,2906.253147,59.311289,92978.309578,401308.669683,31.992081,0.272994,54782.055807,34.943265,1712.21997,0.190375,38196.253771,24.368024,1194.033177,0.082619,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999152,0.0,0.912677,0.0,0.708906,0.0,1.091978,0.214834,0.96736,0.196741,0.187572,0.218673,0.263345,0.195187,0.490656,0.0,0.0,0.231545,2904.496025,59.275429,92911.198718,401287.384615,31.990385,0.256117,51377.589744,32.782997,1606.366853,0.206972,41533.608974,26.492432,1298.129172,0.049145,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.99916,0.0,0.913741,0.0,0.710444,0.0,1.08528,0.19908,0.988407,0.187947,0.179199,0.202116,0.283402,0.185223
4,speech_commands,cats,identity,run_001,0.451389,0.887486,0.88066,0.876185,0.878291,10074.9583,291.9393,312.0758,10.3738,8.4212,412.6376,0.400316,0.899409,0.896301,0.893255,0.892411,37.9574,262.9528,12884.6872,80.2212,0.892411,1,0,0.235254,2951.031118,60.225125,94409.888009,401308.669683,31.992081,0.263699,52913.420814,33.753457,1653.919407,0.20681,41496.467195,26.471668,1297.111711,0.056889,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999166,0.0,0.915801,0.0,0.712254,0.0,1.093946,0.216831,0.990535,0.211565,0.185985,0.220441,0.283695,0.209853,0.451283,0.0,0.0,0.235788,2957.722273,60.361679,94613.711538,401287.384615,31.990385,0.256446,51443.176282,32.825073,1608.428596,0.21513,43170.535256,27.536606,1349.293677,0.041316,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999169,0.0,0.91767,0.0,0.714214,0.0,1.095549,0.204962,1.001016,0.196815,0.185365,0.207679,0.292541,0.194123
5,speech_commands,cats,identity,run_001,0.421351,0.893108,0.887148,0.882673,0.884775,11124.6335,313.9634,324.9167,10.8223,7.6266,373.7028,0.385143,0.90502,0.901401,0.897038,0.895749,41.8624,238.4242,11682.7857,80.2212,0.895749,1,0,0.240457,3016.289853,61.556936,96497.393665,401308.669683,31.992081,0.261275,52424.078808,33.443142,1638.713943,0.219639,44073.314857,28.113794,1377.57591,0.041636,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999174,0.0,0.920508,0.0,0.715925,0.0,1.102464,0.221205,1.009022,0.223136,0.189562,0.22457,0.298944,0.221372,0.421493,0.0,0.0,0.24339,3053.089799,62.307955,97664.262821,401287.384615,31.990385,0.267439,53648.596154,34.232136,1677.374678,0.219342,44015.666667,28.075819,1375.71512,0.048096,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999182,0.0,0.922934,0.0,0.718259,0.0,1.111254,0.214078,1.011153,0.203802,0.196042,0.216688,0.298726,0.201145
6,speech_commands,cats,identity,run_001,0.3992,0.898377,0.892922,0.888417,0.890528,11581.0463,313.4288,321.9847,10.7936,7.326,358.9751,0.373613,0.906122,0.903236,0.899243,0.898198,38.9712,256.1123,12549.5027,80.2212,0.898198,1,0,0.244683,3069.308268,62.638944,98194.19457,401308.669683,31.992081,0.260515,52273.553922,33.345905,1633.949369,0.228852,45920.640649,29.293039,1435.358898,0.031663,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999188,0.0,0.926048,0.0,0.720832,0.0,1.110766,0.224579,1.024685,0.231478,0.192203,0.227833,0.310008,0.229687,0.399249,0.0,0.0,0.246433,3091.26005,63.08694,98885.557692,401287.384615,31.990385,0.257258,51605.782051,32.928971,1613.51959,0.235609,47279.775641,30.157969,1477.740461,0.021648,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999189,0.0,0.92878,0.0,0.723154,0.0,1.114867,0.214376,1.033101,0.214373,0.193367,0.21678,0.316397,0.211585
7,speech_commands,cats,identity,run_001,0.379867,0.902879,0.897428,0.893545,0.895352,10108.1435,303.0151,321.2397,10.4724,8.3935,411.2829,0.361104,0.908626,0.903567,0.902455,0.90054,38.7373,257.6583,12625.2588,80.2212,0.90054,1,0,0.248844,3121.496512,63.70401,99863.134992,401308.669683,31.992081,0.263527,52876.572398,33.731423,1652.839746,0.234161,46986.562594,29.972587,1468.656766,0.029366,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999196,0.0,0.932785,0.0,0.725835,0.0,1.121872,0.229002,1.035758,0.236006,0.19659,0.232168,0.316259,0.234248,0.380059,0.0,0.0,0.247493,3104.55331,63.358231,99311.346154,401287.384615,31.990385,0.231631,46464.064103,29.648776,1452.79003,0.263355,52847.282051,33.709455,1651.76328,-0.031724,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999203,0.0,0.936405,0.0,0.728365,0.0,1.102889,0.206083,1.073996,0.230656,0.173071,0.208686,0.352874,0.227244
8,speech_commands,cats,identity,run_001,0.364032,0.906015,0.900762,0.896665,0.898603,10452.2729,303.9646,321.138,10.4912,8.1172,397.7419,0.348729,0.911231,0.906148,0.90599,0.903794,39.3567,253.6035,12426.5708,80.2212,0.903794,1,0,0.251906,3159.909375,64.487946,101092.229261,401308.669683,31.992081,0.263198,52812.779789,33.68931,1650.776197,0.240614,48279.449472,30.798636,1509.133178,0.022583,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.99921,0.0,0.940537,0.0,0.731058,0.0,1.131278,0.23077,1.047786,0.241576,0.198179,0.233872,0.323309,0.239843,0.364011,0.0,0.0,0.254704,3195.009318,65.204272,102204.217949,401287.384615,31.990385,0.263333,52824.541667,33.706653,1651.625991,0.246075,49379.676282,31.497619,1543.383327,0.017258,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999215,0.0,0.945316,0.0,0.733459,0.0,1.138951,0.221478,1.055475,0.224806,0.200992,0.223772,0.328822,0.222068
9,speech_commands,cats,identity,run_001,0.349228,0.908631,0.903611,0.899849,0.90162,10120.1069,303.0992,322.7879,10.43,8.3836,410.7967,0.335184,0.914237,0.909228,0.90722,0.905794,39.2791,254.1044,12451.1162,80.2212,0.905794,1,0,0.255614,3206.422371,65.437191,102583.930618,401308.669683,31.992081,0.260583,52290.87632,33.354572,1634.374008,0.250645,50293.054299,32.08262,1572.048363,0.009937,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999223,0.0,0.949422,0.0,0.736281,0.0,1.14001,0.231916,1.064225,0.248821,0.1979,0.234954,0.334878,0.247088,0.349145,0.0,0.0,0.256681,3219.810873,65.710426,102998.442308,401287.384615,31.990385,0.233481,46835.112179,29.885598,1464.394317,0.279881,56163.330128,35.824828,1755.416556,-0.0464,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999229,0.0,0.953379,0.0,0.738698,0.0,1.123818,0.210994,1.102976,0.243,0.176999,0.213515,0.372097,0.239506
10,speech_commands,cats,identity,run_001,0.335678,0.911719,0.907338,0.90324,0.905167,19285.6147,296.5302,314.8846,10.4422,4.3993,215.5652,0.338137,0.914538,0.914152,0.906072,0.908292,38.8143,257.1474,12600.2228,80.2212,0.908292,1,0,0.259896,3260.133765,66.533342,104299.327677,401308.669683,31.992081,0.261671,52504.642911,33.493925,1641.202349,0.25812,51794.684766,33.039417,1618.931415,0.003551,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.99924,0.0,0.957651,0.0,0.741524,0.0,1.150334,0.234089,1.077718,0.25546,0.199986,0.237086,0.343396,0.25373,0.335711,0.0,0.0,0.260442,3266.98843,66.673233,104506.698718,401287.384615,31.990385,0.265886,53336.641026,34.033445,1667.638815,0.254998,51170.057692,32.639788,1599.349614,0.010888,0.693147,2.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,28.0,0.0,13.999248,0.0,0.961922,0.0,0.744615,0.0,1.160459,0.225527,1.074868,0.235,0.205876,0.227671,0.337443,0.232459
