epoch,dataset,model_name,routing_type,run_name,train_loss,train_acc,train_precision,train_recall,train_f1,train_epoch_time_sec,train_forward_time_sec,train_backward_time_sec,train_step_time_sec,train_samples_per_sec,train_tokens_per_sec,val_loss,val_acc,val_precision,val_recall,val_f1,val_epoch_time_sec,val_samples_per_sec,val_tokens_per_sec,gpu_peak_mem_mb,best_val_f1_so_far,is_best,epochs_without_improvement,train_firing_rate,train_spikes_per_sample,train_spikes_per_token,train_total_spikes,train_valid_steps,train_num_samples,train_exc_firing_rate,train_exc_total_spikes,train_exc_spikes_per_token,train_exc_spikes_per_sample,train_inh_firing_rate,train_inh_total_spikes,train_inh_spikes_per_token,train_inh_spikes_per_sample,train_exc_inh_diff,train_routing_entropy,train_num_groups,train_routing_variance,train_exc_weight_mean,train_inh_weight_mean,train_exc_inh_balance,train_weight_gap,train_exc_weight_std,train_inh_weight_std,train_exc_usage_fraction,train_inh_usage_fraction,train_max_weight_mean,train_dominance_fraction,train_exc_tau_mean,train_exc_tau_std,train_inh_tau_mean,train_inh_tau_std,train_exc_threshold_mean,train_exc_threshold_std,train_inh_threshold_mean,train_inh_threshold_std,train_exc_effective_threshold_mean,train_exc_effective_threshold_std,train_inh_effective_threshold_mean,train_inh_effective_threshold_std,train_exc_adaptive_threshold_mean,train_exc_adaptive_threshold_std,train_inh_adaptive_threshold_mean,train_inh_adaptive_threshold_std,train_task_loss,train_balance_loss,train_entropy_loss,val_firing_rate,val_spikes_per_sample,val_spikes_per_token,val_total_spikes,val_valid_steps,val_num_samples,val_exc_firing_rate,val_exc_total_spikes,val_exc_spikes_per_token,val_exc_spikes_per_sample,val_inh_firing_rate,val_inh_total_spikes,val_inh_spikes_per_token,val_inh_spikes_per_sample,val_exc_inh_diff,val_routing_entropy,val_num_groups,val_routing_variance,val_exc_weight_mean,val_inh_weight_mean,val_exc_inh_balance,val_weight_gap,val_exc_weight_std,val_inh_weight_std,val_exc_usage_fraction,val_inh_usage_fraction,val_max_weight_mean,val_dominance_fraction,val_exc_tau_mean,val_exc_tau_std,val_inh_tau_mean,val_inh_tau_std,val_exc_threshold_mean,val_exc_threshold_std,val_inh_threshold_mean,val_inh_threshold_std,val_exc_effective_threshold_mean,val_exc_effective_threshold_std,val_inh_effective_threshold_mean,val_inh_effective_threshold_std,val_exc_adaptive_threshold_mean,val_exc_adaptive_threshold_std,val_inh_adaptive_threshold_mean,val_inh_adaptive_threshold_std
1,speech_commands,cats,linear,run_001,0.922055,0.793807,0.788037,0.771683,0.778556,9832.8853,301.171,333.721,10.4284,8.6285,422.7962,0.460535,0.883479,0.888605,0.871035,0.873746,38.1506,261.6208,12819.418,95.3447,0.873746,1,0,0.271876,3410.414498,69.600296,109106.855581,401308.669683,31.992081,0.456033,91505.656109,58.37225,2860.24024,0.087719,17601.199472,11.228046,550.174259,0.368314,0.586267,2.0,0.048987,0.521697,0.478303,0.043393,0.057579,0.208781,0.208781,0.531479,0.468521,0.68742,0.045179,28.0,0.0,13.999032,0.0,0.907967,0.0,0.699615,0.0,1.216531,0.238881,0.830271,0.133512,0.322108,0.241416,0.132447,0.13316,0.916107,0.028789,0.10688,0.279728,3508.90959,71.6104,112244.583333,401287.384615,31.990385,0.464841,93258.769231,59.499705,2915.485535,0.094615,18985.814103,12.110695,593.424054,0.370227,0.568721,2.0,0.056246,0.49654,0.50346,-0.00692,0.071867,0.232306,0.232306,0.510905,0.489095,0.70161,0.074436,28.0,0.0,13.999042,0.0,0.909141,0.0,0.700057,0.0,1.242467,0.238631,0.841063,0.125748,0.346569,0.239098,0.142935,0.125118
2,speech_commands,cats,linear,run_001,0.488487,0.87339,0.868326,0.860397,0.863981,10044.3867,301.2783,333.7308,10.4038,8.4468,413.8936,0.386807,0.897004,0.908606,0.882305,0.89045,38.158,261.57,12816.9324,95.3447,0.89045,1,0,0.275791,3459.517906,70.602406,110678.842006,401308.669683,31.992081,0.467578,93822.34917,59.850029,2932.651431,0.084003,16856.492836,10.752377,526.866475,0.383575,0.545593,2.0,0.065643,0.509669,0.490331,0.019339,0.039023,0.254842,0.254842,0.52575,0.47425,0.718659,0.115588,28.0,0.0,13.999046,0.0,0.910329,0.0,0.700512,0.0,1.252455,0.233575,0.821793,0.127924,0.355241,0.233873,0.123149,0.127882,0.484407,0.019511,0.147555,0.305745,3835.263198,78.270677,122683.907051,401287.384615,31.990385,0.54391,109122.839744,69.620535,3411.406236,0.067579,13561.067308,8.650142,423.856961,0.476331,0.546814,2.0,0.065114,0.491865,0.508135,-0.016271,0.084054,0.249517,0.249517,0.484715,0.515285,0.717777,0.113737,28.0,0.0,13.999048,0.0,0.911495,0.0,0.701411,0.0,1.33452,0.252233,0.797397,0.117167,0.43753,0.249352,0.097553,0.11733
3,speech_commands,cats,linear,run_001,0.430381,0.887145,0.882748,0.87601,0.879093,9994.3915,300.8547,335.3462,10.3551,8.4891,415.964,0.371496,0.901813,0.897967,0.893201,0.892926,38.1578,261.5718,12817.0199,95.3447,0.892926,1,0,0.287831,3610.545794,73.684608,115507.052413,401308.669683,31.992081,0.485973,97511.118778,62.204535,3048.022236,0.089688,17995.933635,11.480073,562.523559,0.396285,0.53445,2.0,0.069874,0.50949,0.49051,0.018981,0.042843,0.262801,0.262801,0.513976,0.486024,0.72564,0.139888,28.0,0.0,13.999051,0.0,0.91179,0.0,0.700719,0.0,1.281136,0.242007,0.82722,0.138854,0.382565,0.241219,0.128617,0.139018,0.425911,0.021422,0.158697,0.323198,4054.193489,82.738643,129688.192308,401287.384615,31.990385,0.5468,109702.451923,69.990388,3429.529012,0.099596,19985.740385,12.748255,624.664477,0.447204,0.544143,2.0,0.065868,0.502975,0.497025,0.005949,0.087945,0.2502,0.2502,0.50212,0.49788,0.718048,0.123439,28.0,0.0,13.99905,0.0,0.911792,0.0,0.700236,0.0,1.341783,0.262328,0.842063,0.147379,0.444432,0.25932,0.144122,0.147276
4,speech_commands,cats,linear,run_001,0.395094,0.895584,0.891475,0.885636,0.888324,10150.4852,302.1674,336.5989,10.3913,8.3585,409.5673,0.354088,0.906723,0.909594,0.900298,0.901376,38.7697,257.443,12614.7061,95.3447,0.901376,1,0,0.29941,3755.804091,76.649063,120154.479261,401308.669683,31.992081,0.496299,99583.209276,63.526242,3112.785862,0.102522,20571.269985,13.122821,643.018229,0.393777,0.52879,2.0,0.072162,0.509841,0.490159,0.019683,0.044092,0.267018,0.267018,0.512757,0.487242,0.730358,0.147089,28.0,0.0,13.999054,0.0,0.911864,0.0,0.700679,0.0,1.296948,0.248415,0.843175,0.155059,0.398346,0.247022,0.144997,0.155314,0.390455,0.022046,0.164357,0.334882,4200.755733,85.729709,134376.785256,401287.384615,31.990385,0.545711,109483.567308,69.851022,3422.700069,0.124052,24893.217949,15.878687,778.055665,0.421659,0.528797,2.0,0.072317,0.504703,0.495297,0.009406,0.092782,0.26212,0.26212,0.504462,0.495538,0.731294,0.144852,28.0,0.0,13.999054,0.0,0.911729,0.0,0.701274,0.0,1.341306,0.2706,0.878735,0.172445,0.443975,0.267913,0.180287,0.172086
5,speech_commands,cats,linear,run_001,0.371644,0.901288,0.897624,0.89147,0.894321,10145.6056,302.5586,335.2927,10.3684,8.3625,409.7643,0.334339,0.913636,0.923275,0.903045,0.910341,39.5284,252.5017,12372.5842,95.3447,0.910341,1,0,0.310403,3893.697504,79.463214,124566.440045,401308.669683,31.992081,0.50504,101338.846908,64.645107,3167.61026,0.115766,23227.593137,14.818107,726.087244,0.389273,0.52109,2.0,0.075348,0.509622,0.490378,0.019245,0.043845,0.272965,0.272965,0.513056,0.486944,0.736923,0.156822,28.0,0.0,13.999056,0.0,0.911541,0.0,0.701939,0.0,1.31081,0.254389,0.860865,0.170495,0.412543,0.252447,0.16183,0.17081,0.367077,0.021923,0.172058,0.349714,4386.812528,89.526786,140329.580128,401287.384615,31.990385,0.557158,111780.682692,71.316209,3494.494228,0.14227,28548.897436,18.210578,892.318299,0.414888,0.5299,2.0,0.071987,0.511033,0.488967,0.022066,0.09557,0.261043,0.261043,0.515221,0.484779,0.731416,0.138304,28.0,0.0,13.999054,0.0,0.910985,0.0,0.702703,0.0,1.360571,0.273652,0.900178,0.19606,0.463956,0.270009,0.200957,0.195878
6,speech_commands,cats,linear,run_001,0.352488,0.906404,0.904109,0.897533,0.900544,10167.812,302.0144,334.3279,10.4962,8.3443,408.8694,0.339247,0.910229,0.908538,0.908021,0.905045,38.7544,257.545,12619.7067,95.3447,0.910341,0,1,0.318776,3998.726951,81.606672,127928.300905,401308.669683,31.992081,0.504606,101253.002262,64.589562,3164.888517,0.132946,26675.298643,17.017111,833.838435,0.37166,0.51501,2.0,0.077906,0.510539,0.489461,0.021078,0.045742,0.277473,0.277473,0.514554,0.485446,0.742201,0.164404,28.0,0.0,13.999056,0.0,0.91106,0.0,0.703625,0.0,1.311708,0.257127,0.885097,0.187469,0.413858,0.255158,0.184849,0.187767,0.347659,0.022871,0.178137,0.356318,4469.649242,91.217331,142979.503205,401287.384615,31.990385,0.568252,114006.698718,72.736297,3564.078574,0.144383,28972.804487,18.481034,905.570668,0.423869,0.520865,2.0,0.075774,0.508734,0.491266,0.017468,0.094864,0.268401,0.268401,0.513985,0.486015,0.739244,0.148933,28.0,0.0,13.999055,0.0,0.912139,0.0,0.7052,0.0,1.372965,0.274685,0.905814,0.208466,0.475414,0.270673,0.20414,0.208463
7,speech_commands,cats,linear,run_001,0.337507,0.910034,0.907147,0.900986,0.903821,10565.3044,319.0735,340.6839,11.175,8.0303,393.4867,0.313899,0.918846,0.915386,0.913534,0.912632,40.204,248.2587,12164.6746,95.3447,0.912632,1,0,0.325231,4079.703461,83.259254,130516.742459,401308.669683,31.992081,0.499635,100252.940045,63.953233,3133.708424,0.150828,30263.802413,19.306021,945.995037,0.348806,0.507928,2.0,0.080839,0.508371,0.491629,0.016741,0.044656,0.282829,0.282829,0.509803,0.490197,0.748028,0.174447,28.0,0.0,13.999055,0.0,0.911747,0.0,0.70539,0.0,1.309423,0.259643,0.910852,0.204531,0.410727,0.257768,0.209309,0.204732,0.332773,0.022328,0.18522,0.365668,4586.934275,93.610904,146732.416667,401287.384615,31.990385,0.538935,108124.63141,68.983718,3380.202175,0.1924,38607.785256,24.627186,1206.732099,0.346535,0.519462,2.0,0.076359,0.506799,0.493201,0.013598,0.094583,0.269364,0.269364,0.510629,0.489371,0.740367,0.149743,28.0,0.0,13.999056,0.0,0.911236,0.0,0.705407,0.0,1.348104,0.278,0.970683,0.245132,0.450709,0.274841,0.270058,0.24461
8,speech_commands,cats,linear,run_001,0.323243,0.912709,0.910899,0.904038,0.907178,10202.9708,320.3456,347.0805,11.4667,8.3155,407.4604,0.300121,0.922753,0.927638,0.914794,0.919852,40.3158,247.5706,12130.9595,95.3447,0.919852,1,0,0.334631,4197.605325,85.665415,134290.288839,401308.669683,31.992081,0.507491,101828.918552,64.958903,3182.986255,0.16177,32461.370287,20.706512,1014.61907,0.345722,0.506267,2.0,0.08147,0.507907,0.492093,0.015815,0.043485,0.283987,0.283987,0.509022,0.490978,0.749001,0.178178,28.0,0.0,13.999056,0.0,0.911345,0.0,0.705741,0.0,1.318149,0.263101,0.924736,0.214849,0.419975,0.260924,0.223177,0.215027,0.318826,0.021742,0.186881,0.372325,4670.446529,95.315235,149403.439103,401287.384615,31.990385,0.571959,114750.663462,73.210713,3587.324954,0.172692,34652.775641,22.104522,1083.121574,0.399267,0.513726,2.0,0.07863,0.502866,0.497134,0.005731,0.093034,0.273817,0.273817,0.502808,0.497192,0.744123,0.161485,28.0,0.0,13.999058,0.0,0.911732,0.0,0.705784,0.0,1.381254,0.28186,0.945609,0.237895,0.484034,0.277545,0.244047,0.237751
9,speech_commands,cats,linear,run_001,0.312317,0.916139,0.914343,0.907738,0.910762,10369.1999,321.621,350.0808,11.3706,8.1822,400.9284,0.315537,0.920449,0.921268,0.914877,0.916499,41.9836,237.7357,11649.048,95.3447,0.919852,0,1,0.33955,4259.31629,86.924822,136263.759804,401308.669683,31.992081,0.506242,101577.771493,64.799023,3175.152127,0.172858,34685.988311,22.125799,1084.164163,0.333385,0.504398,2.0,0.082226,0.509049,0.490951,0.018097,0.044767,0.285263,0.285263,0.510561,0.489439,0.750345,0.181736,28.0,0.0,13.999059,0.0,0.91228,0.0,0.706666,0.0,1.320654,0.264061,0.938483,0.223307,0.421435,0.261756,0.236373,0.2235,0.307789,0.022383,0.188749,0.37838,4746.404427,96.865396,151833.980769,401287.384615,31.990385,0.569108,114179.153846,72.845772,3569.442846,0.187653,37654.826923,24.019624,1176.96158,0.381454,0.513322,2.0,0.078937,0.460725,0.539275,-0.07855,0.111207,0.271525,0.271525,0.440113,0.559887,0.74505,0.163983,28.0,0.0,13.999057,0.0,0.913139,0.0,0.707805,0.0,1.383755,0.282721,0.965872,0.255624,0.484953,0.278201,0.262756,0.255524
10,speech_commands,cats,linear,run_001,0.302616,0.918567,0.916946,0.910522,0.913483,10301.8296,326.9802,349.4409,11.4751,8.2357,403.5504,0.306434,0.92085,0.916789,0.916353,0.915197,40.7375,245.0076,12005.3746,95.3447,0.919852,0,2,0.347484,4358.833882,88.955794,139446.263198,401308.669683,31.992081,0.511315,102595.80543,65.448384,3206.970794,0.183652,36850.457768,23.50741,1151.863088,0.327664,0.502872,2.0,0.082853,0.508538,0.491462,0.017076,0.044151,0.286388,0.286388,0.509496,0.490504,0.751578,0.184475,28.0,0.0,13.999058,0.0,0.914184,0.0,0.707728,0.0,1.327747,0.266413,0.951954,0.232535,0.426722,0.263975,0.249149,0.23273,0.298021,0.022075,0.190275,0.38637,4846.620012,98.910613,155039.916667,401287.384615,31.990385,0.577652,115893.615385,73.939511,3623.036026,0.195087,39146.301282,24.971102,1223.583986,0.382566,0.50687,2.0,0.0815,0.49547,0.50453,-0.00906,0.094406,0.278914,0.278914,0.4916,0.508399,0.749746,0.173703,28.0,0.0,13.999057,0.0,0.915182,0.0,0.7084,0.0,1.392505,0.285254,0.975282,0.259556,0.491886,0.280687,0.271814,0.259445
